Date,AMZN,ARCH,BA,BAX,CELH,CL,FMS,GD,GSK,IAU,LMT,LVMUY,MDR,MINT,MRK,MU,NGG,NLY,NOC,PANW,PXD,RTN,SHY,SNAP,TLT,TSLA,UUP,VIXY,VZ,WDC,XOM,Portfolio Value
2019-05-15,14969.2,26303.550000000003,23905.0,21752.64,10516.68,15012.240000000002,13702.5,1492.47,42282.38,83923.2,1650.5,11951.12,1314.08,148039.71,43392.51,1536.3999999999999,11853.720000000001,3775.19,22497.86,30984.75,1358.73,14914.1,207392.1,1066.0,53006.0,927.8,12952.68,3621.0,41563.08,1604.8799999999999,18781.56,888043.63
2019-05-16,15260.56,26337.989999999998,24470.6,22029.12,10493.1,15257.189999999999,13660.5,1511.3700000000001,42536.76,83381.76,1676.3999999999999,11996.94,1302.04,148069.25,44277.03,1492.4,11349.84,3779.3799999999997,23278.64,31701.030000000002,1391.04,15096.0,207267.59999999998,1142.0,52827.5,913.32,12987.26,3468.0,41981.4,1590.84,18779.039999999997,891305.9
2019-05-17,14952.0,25620.489999999998,24553.899999999998,21764.159999999996,10186.560000000001,15144.3,13489.0,1480.41,42669.479999999996,82704.96,1669.4499999999998,11976.4,1241.84,148098.79,44044.560000000005,1442.4,11434.199999999999,3708.1499999999996,23430.33,31812.420000000002,1383.66,14896.25,207317.40000000002,1149.0,52946.5,844.12,13016.900000000001,3516.0,42496.83,1574.64,18668.16,889233.2600000001
2019-05-20,14871.76,25376.54,24399.899999999998,21574.079999999998,10115.82,15088.92,13401.5,1506.42,42592.06,82704.96,1689.35,11660.4,1253.88,148098.79,44135.28,1384.8,11354.4,3670.44,24033.24,31540.29,1383.1200000000001,15199.699999999999,207242.7,1119.0,52836.0,821.44,13007.019999999999,3568.5,43169.13,1479.96,18665.64,888945.0399999999
2019-05-21,14860.16,25600.4,24812.199999999997,21568.32,10257.3,15052.710000000001,13530.999999999998,1525.68,42592.06,82501.92,1698.8999999999999,11843.679999999998,1247.0,148113.56,44481.15,1425.6,11420.52,3687.2000000000003,24159.52,32111.34,1416.33,15364.599999999999,207143.1,1154.0,52751.0,820.32,13026.78,3391.5,43527.69,1532.8799999999999,18753.84,891372.26
2019-05-22,14877.44,25531.519999999997,24399.2,21646.079999999998,10068.66,15052.710000000001,13552.0,1506.33,43465.799999999996,82501.92,1685.8000000000002,11850.0,1174.76,148098.79,45308.97,1389.1999999999998,11276.880000000001,3687.2000000000003,24189.55,32148.0,1373.58,15187.800000000001,207242.7,1131.0,53057.0,770.92,13036.66,3354.0,43348.41,1488.2400000000002,18582.48,891983.6000000002
2019-05-23,14523.84,25066.58,24244.5,21493.44,9738.539999999999,15099.57,13202.0,1455.57,43244.6,83111.04,1679.75,11755.2,1066.4,148157.87,45331.65,1352.8,11224.439999999999,3653.6800000000003,23766.05,30426.39,1305.72,15118.95,207591.30000000002,1112.0,53652.0,781.96,13011.96,3576.0,43072.02,1463.7599999999998,18149.039999999997,888428.62
2019-05-24,14586.24,25146.940000000002,24545.5,21513.600000000002,9785.7,14982.42,13328.0,1459.6200000000001,43443.68,83178.72,1673.3500000000001,11966.92,1069.84,148172.63999999998,45416.7,1360.0,11340.720000000001,3649.4900000000002,23841.51,30492.66,1318.5,15142.75,207516.6,1156.0,53698.75,762.52,12967.5,3504.0,43400.700000000004,1445.7599999999998,18224.64,890091.9700000001
2019-05-28,14691.44,24931.690000000002,24544.1,21248.64,9880.02,14754.509999999998,13093.499999999998,1456.29,42370.86,82840.32,1668.95,12011.16,1092.2,148172.63999999998,44906.4,1317.6,11233.560000000001,3574.0699999999997,23548.14,30241.68,1326.5099999999998,15021.2,207690.9,1157.0,54085.5,754.8,13021.84,3607.5,42967.44,1396.44,17856.72,886463.6199999999
2019-05-29,14553.52,24914.47,24124.1,21150.72,9762.119999999999,14724.689999999999,12929.0,1444.32,42039.06,82908.0,1676.15,11924.26,1062.96,148216.94999999998,44401.770000000004,1331.6,11185.68,3548.9300000000003,23377.97,30360.12,1314.81,14937.05,207715.80000000002,1168.0,54247.0,759.44,13051.480000000001,3679.5,42564.06,1399.32,17745.84,884218.6899999997
